日期,数据库记录数量,API接口返回的数据总量
2021-07-01,1640289,1640289
2021-07-02,1626269,1626269
2021-07-03,1439630,1439630
2021-07-04,1275230,1275230
2021-07-05,1550058,1550058
2021-07-06,1567857,1567857
2021-07-07,1527649,1527649
2021-07-08,1610210,1610210
2021-07-09,1632627,1632627
2021-07-10,1426625,1426625
2021-07-11,1317673,1317673
2021-07-12,1565556,1565556
2021-07-13,1441275,1441275
2021-07-14,1553439,1553439
2021-07-15,1505300,1505300
2021-07-16,1453891,1453891
2021-07-17,1514900,1514900
2021-07-18,1374333,1374333
2021-07-19,975731,975731
2021-07-20,1010541,1010541
2021-07-21,1271937,1271937
2021-07-22,1597465,1597465
2021-07-23,1597235,1597235
2021-07-24,1323486,1323486
2021-07-25,1170034,1170034
2021-07-26,1574247,1574247
2021-07-27,1438916,1438916
2021-07-28,1360516,1360516
2021-07-29,1576394,1576394
2021-07-30,1522878,1522878
2021-07-31,1456932,1456932
2021-08-01,1359732,1359732
2021-08-02,1471310,1471310
2021-08-03,1550796,1550796
2021-08-04,1373325,1373325
2021-08-05,1170808,1170808
2021-08-06,1390758,1390758
2021-08-07,1408954,1408954
2021-08-08,1170056,1170056
2021-08-09,1323934,1323934
2021-08-10,1498356,1498356
2021-08-11,1529076,1529076
2021-08-12,1484095,1484095
2021-08-13,1684231,1684231
2021-08-14,1335198,1335198
2021-08-15,1451989,1451989
2021-08-16,1674455,1674455
2021-08-17,1710525,1710525
2021-08-18,1680218,1680218
2021-08-19,1706170,1706170
2021-08-20,1751924,1751924
2021-08-21,1528683,1528683
2021-08-22,1398781,1398781
2021-08-23,1694016,1694016
2021-08-24,1728052,1728052
2021-08-25,1739822,1739822
2021-08-26,1798195,1798195
2021-08-27,1553463,1553463
2021-08-28,1626647,1626647
2021-08-29,906758,906758
2021-08-30,6337,6337
