stationnames,linename,lon,lat
豫园,地铁10号线(新江湾城-虹桥火车站),121.48283033758119,31.23027093044076
老西门,地铁10号线(新江湾城-虹桥火车站),121.47931185443552,31.221073985044608
新天地,地铁10号线(新江湾城-虹桥火车站),121.47075586345952,31.218294750858874
陕西南路,地铁10号线(新江湾城-虹桥火车站),121.45345799010008,31.21667610356292
上海图书馆,地铁10号线(新江湾城-虹桥火车站),121.43975165303726,31.209966368989658
交通大学,地铁10号线(新江湾城-虹桥火车站),121.42952631930164,31.20372474691698
虹桥路,地铁10号线(新江湾城-虹桥火车站),121.41767616931179,31.198490043241854
宋园路,地铁10号线(新江湾城-虹桥火车站),121.40731820626036,31.19832432977877
伊犁路,地铁10号线(新江湾城-虹桥火车站),121.39940058732157,31.20097434412085
水城路,地铁10号线(新江湾城-虹桥火车站),121.38754188867226,31.201298680700077
龙溪路,地铁10号线(新江湾城-虹桥火车站),121.3755174497979,31.19627515675488
上海动物园,地铁10号线(新江湾城-虹桥火车站),121.36370573239333,31.192146075730466
虹桥1号航站楼,地铁10号线(新江湾城-虹桥火车站),121.34262979861285,31.193463603446432
虹桥2号航站楼,地铁10号线(新江湾城-虹桥火车站),121.32178992197157,31.195847291773795
虹桥火车站,地铁10号线(新江湾城-虹桥火车站),121.31698547115084,31.195872702920212
浦东国际机场,地铁2号线(浦东国际机场-徐泾东),121.80240290384077,31.151620958018466
海天三路,地铁2号线(浦东国际机场-徐泾东),121.79262732526396,31.17059448437195
远东大道,地铁2号线(浦东国际机场-徐泾东),121.75109526861247,31.20142231923046
凌空路,地铁2号线(浦东国际机场-徐泾东),121.71974883887869,31.194859707038606
川沙,地铁2号线(浦东国际机场-徐泾东),121.69373207022477,31.188757992937546
华夏东路,地铁2号线(浦东国际机场-徐泾东),121.67661293740723,31.198740900586728
创新中路,地铁2号线(浦东国际机场-徐泾东),121.66947937207657,31.21564637885325
唐镇,地铁2号线(浦东国际机场-徐泾东),121.6519603736814,31.21643919587955
广兰路,地铁2号线(浦东国际机场-徐泾东),121.61697087791599,31.21308703855244
金科路,地铁2号线(浦东国际机场-徐泾东),121.5977989899922,31.20636119514668
张江高科,地铁2号线(浦东国际机场-徐泾东),121.58349951749912,31.20395598048356
龙阳路,地铁2号线(浦东国际机场-徐泾东),121.55315410718144,31.20524621882207
世纪公园,地铁2号线(浦东国际机场-徐泾东),121.5466810635746,31.21147339791956
上海科技馆,地铁2号线(浦东国际机场-徐泾东),121.54058926688705,31.22069337516232
世纪大道,地铁2号线(浦东国际机场-徐泾东),121.52256449772648,31.23100111534736
