VehicleNum,Lng,Lat,OccupancyStatus,Speed,DateTime
22223,114.123886,22.575117,0,33,2013-10-22 00:59:14
22223,114.123398,22.576134,0,33,2013-10-22 00:59:29
22223,114.124466,22.576616,0,46,2013-10-22 00:59:44
22223,114.126366,22.5769,0,52,2013-10-22 00:59:59
22223,114.128571,22.577217,0,52,2013-10-22 01:00:14
22223,114.130486,22.577517,0,56,2013-10-22 01:00:29
22223,114.132736,22.576967,0,55,2013-10-22 01:00:44
22223,114.134583,22.5763,0,55,2013-10-22 01:00:59
22223,114.135414,22.575933,0,0,2013-10-22 01:01:14
22223,114.136467,22.575583,1,57,2013-10-22 01:01:29
22223,114.137802,22.575184,1,65,2013-10-22 01:01:37
22223,114.139198,22.5755,1,36,2013-10-22 01:01:52
22223,114.139702,22.576767,1,38,2013-10-22 01:02:07
22223,114.14032,22.578199,1,44,2013-10-22 01:02:22
22223,114.140533,22.5791,1,53,2013-10-22 01:02:30
22223,114.141151,22.580833,1,52,2013-10-22 01:02:45
22223,114.141365,22.582867,1,50,2013-10-22 01:03:00
22223,114.142715,22.584101,1,51,2013-10-22 01:03:15
22223,114.144936,22.584749,1,50,2013-10-22 01:03:30
22223,114.145851,22.586451,1,60,2013-10-22 01:03:45
22223,114.147469,22.588118,1,60,2013-10-22 01:04:00
22223,114.148598,22.588633,1,55,2013-10-22 01:04:08
22223,114.150146,22.589317,1,48,2013-10-22 01:04:23
22223,114.150414,22.59025,1,58,2013-10-22 01:04:31
22223,114.150352,22.591766,1,66,2013-10-22 01:04:40
22223,114.15062,22.592684,1,64,2013-10-22 01:04:46
22223,114.151985,22.594151,1,50,2013-10-22 01:05:01
22223,114.152229,22.595234,1,63,2013-10-22 01:05:09
22223,114.152847,22.596533,1,58,2013-10-22 01:05:18
22223,114.153717,22.596783,1,62,2013-10-22 01:05:24
22223,114.1558,22.59705,1,55,2013-10-22 01:05:39
22223,114.1567,22.597633,1,54,2013-10-22 01:05:47
22223,114.158363,22.599501,1,62,2013-10-22 01:06:02
22223,114.159698,22.601168,1,63,2013-10-22 01:06:17
22223,114.160683,22.603132,1,55,2013-10-22 01:06:32
22223,114.161049,22.604616,1,32,2013-10-22 01:06:47
22223,114.162315,22.605568,1,37,2013-10-22 01:07:02
22223,114.163147,22.606182,1,38,2013-10-22 01:07:17
22223,114.164383,22.607033,1,34,2013-10-22 01:07:32
22223,114.165535,22.60755,1,33,2013-10-22 01:07:47
22223,114.166733,22.60815,1,23,2013-10-22 01:08:02
22223,114.166748,22.608267,1,0,2013-10-22 01:08:17
22223,114.166786,22.608232,0,0,2013-10-22 01:08:33
22223,114.166801,22.608232,0,0,2013-10-22 01:08:48
22223,114.166817,22.608282,0,7,2013-10-22 01:08:56
22223,114.166832,22.608334,0,0,2013-10-22 01:09:11
22223,114.166214,22.607718,0,31,2013-10-22 01:09:26
22223,114.16507,22.60745,0,33,2013-10-22 01:09:41
22223,114.163803,22.60655,0,33,2013-10-22 01:09:56
22223,114.162567,22.605734,0,44,2013-10-22 01:10:10
22223,114.161613,22.605034,0,43,2013-10-22 01:10:20
22223,114.161133,22.604668,0,36,2013-10-22 01:10:26
22223,114.160919,22.604549,0,5,2013-10-22 01:10:35
22223,114.160896,22.604532,0,0,2013-10-22 01:10:41
22223,114.160713,22.603367,0,51,2013-10-22 01:10:56
